title,genres,director,actor1,actor2,actor3,comb
mission: impossible – fallout,Action Adventure,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Tom Cruise Henry Cavill Ving Rhames Christopher McQuarrie Action Adventure
teen titans go! to the movies,Animation Action Comedy Science Fiction,Peter Rida Michail,Michael Jelenic (screenplay); Scott Menville,Khary Payton,Tara Strong,Michael Jelenic (screenplay); Scott Menville Khary Payton Tara Strong Peter Rida Michail Animation Action Comedy Science Fiction
detective dee: the four heavenly kings,Mystery Fantasy Adventure Action,Tsui Hark,,Chang Chia-lu,Chen Kuo-Fu (screenplay), Chang Chia-lu Chen Kuo-Fu (screenplay) Tsui Hark Mystery Fantasy Adventure Action
hot summer nights,Drama Comedy,Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Timothée Chalamet Maika Monroe Alex Roe Elijah Bynum Drama Comedy
puzzle,Drama,Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Kelly Macdonald Irrfan Khan David Denman Marc Turtletaub Drama
christopher robin,Adventure Comedy Family Fantasy,Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Ewan McGregor Hayley Atwell Jim Cummings Marc Forster Adventure Comedy Family Fantasy
the darkest minds,Science Fiction Action Drama Romance Adventure Thriller,Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Amandla Stenberg Mandy Moore Harris Dickinson Jennifer Yuh Nelson Science Fiction Action Drama Romance Adventure Thriller
the spy who dumped me,Action Comedy,Susanna Fogel,David Iserson (screenplay); Mila Kunis,Kate McKinnon,Justin Theroux,David Iserson (screenplay); Mila Kunis Kate McKinnon Justin Theroux Susanna Fogel Action Comedy
the miseducation of cameron post,Drama,Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,John Gallagher,Chloë Grace Moretz Sasha Lane John Gallagher Desiree Akhavan Drama
never goin' back,Comedy,Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Maia Mitchell Camila Morrone Kyle Mooney Augustine Frizzell Comedy
dog days,Comedy Romance Drama,Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Nina Dobrev Finn Wolfhard Vanessa Hudgens Ken Marino Comedy Romance Drama
the meg,Action Science Fiction Horror,Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Jason Statham Li Bingbing Rainn Wilson Jon Turteltaub Action Science Fiction Horror
blackkklansman,Crime Drama History Comedy,Spike Lee,John David Washington,Adam Driver,Laura Harrier,John David Washington Adam Driver Laura Harrier Spike Lee Crime Drama History Comedy
slender man,Mystery Thriller Horror,Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Joey King Julia Goldani Telles Jaz Sinclair Sylvain White Mystery Thriller Horror
a prayer before dawn,Drama Action Crime,Jean-Stéphane Sauvaire,Joe Cole,,,Joe Cole   Jean-Stéphane Sauvaire Drama Action Crime
crazy rich asians,Comedy Drama Romance,Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Constance Wu Henry Golding Gemma Chan Jon M. Chu Comedy Drama Romance
alpha,Adventure Drama,Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultén,Kodi Smit-McPhee Leonor Varela Jens Hultén Albert Hughes Adventure Drama
mile 22,Action Thriller,Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Mark Wahlberg John Malkovich Lauren Cohan Peter Berg Action Thriller
the wife,Drama,Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Glenn Close Jonathan Pryce Christian Slater Björn Runge Drama
billionaire boys club,Drama Thriller,James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Ansel Elgort Taron Egerton Kevin Spacey James Cox Drama Thriller
"juliet, naked",Comedy Drama Romance,Jesse Peretz,Ethan Hawke,Rose Byrne,,Ethan Hawke Rose Byrne  Jesse Peretz Comedy Drama Romance
down a dark hall,Thriller Drama Fantasy Horror,Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,AnnaSophia Robb Uma Thurman Isabelle Fuhrman Rodrigo Cortés Thriller Drama Fantasy Horror
the happytime murders,Action Comedy Crime,Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Melissa McCarthy Maya Rudolph Joel McHale Brian Henson Action Comedy Crime
searching,Thriller Mystery Drama,Aneesh Chaganty,Sev Ohanian (screenplay); John Cho,Debra Messing,,Sev Ohanian (screenplay); John Cho Debra Messing  Aneesh Chaganty Thriller Mystery Drama
papillon,Drama History Crime,Michael Noer,Charlie Hunnam,Rami Malek,,Charlie Hunnam Rami Malek  Michael Noer Drama History Crime
a.x.l.,Science Fiction Action Adventure Family,Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
operation finale,Drama History Thriller,Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Oscar Isaac Ben Kingsley Lior Raz Chris Weitz Drama History Thriller
kin,Science Fiction Action,"Jonathan Baker, Josh Baker",Daniel Casey (screenplay); Myles Truitt,Jack Reynor,Zoë Kravitz,"Daniel Casey (screenplay); Myles Truitt Jack Reynor Zoë Kravitz Jonathan Baker, Josh Baker Science Fiction Action"
the little stranger,Mystery Drama Horror History,Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Domhnall Gleeson Ruth Wilson Will Poulter Lenny Abrahamson Mystery Drama Horror History
destination wedding,Romance Comedy Drama,Victor Levin,Winona Ryder,Keanu Reeves,,Winona Ryder Keanu Reeves  Victor Levin Romance Comedy Drama
the nun,Horror Mystery Thriller,Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror Mystery Thriller
peppermint,Action Thriller,Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Jennifer Garner John Ortiz Juan Pablo Raba Pierre Morel Action Thriller
the predator,Science Fiction Action Thriller Adventure Horror Comedy,Shane Black,Fred Dekker (screenplay); Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Fred Dekker (screenplay); Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Thriller Adventure Horror Comedy
white boy rick,Crime Drama,Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Matthew McConaughey Richie Merritt Bel Powley Yann Demange Crime Drama
a simple favor,Crime Comedy Mystery Drama Thriller,Paul Feig,Jessica Sharzer (screenplay); Anna Kendrick,Blake Lively,Henry Golding,Jessica Sharzer (screenplay); Anna Kendrick Blake Lively Henry Golding Paul Feig Crime Comedy Mystery Drama Thriller
the children act,Drama,Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
lizzie,Crime Drama Thriller,Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
unbroken: path to redemption,Drama,Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Samuel Hunt Merritt Patterson Vanessa Bell Calloway Harold Cronk Drama
hell house llc ii: the abaddon hotel,Horror,Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror
the house with a clock in its walls,Fantasy Family Comedy,Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Fantasy Family Comedy
life itself,Drama Romance,Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
the sisters brothers,Western Drama Adventure,Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Adventure
assassination nation,Thriller Comedy Horror,Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Comedy Horror
colette,Drama History,Wash Westmoreland,Richard Glatzer (screenplay); Keira Knightley,Dominic West,,Richard Glatzer (screenplay); Keira Knightley Dominic West  Wash Westmoreland Drama History
fahrenheit 11/9,Documentary,Michael Moore,,,,   Michael Moore Documentary
my son,Crime Drama Thriller,Christian Carion,Guillaume Canet,Melanie Laurent,,Guillaume Canet Melanie Laurent  Christian Carion Crime Drama Thriller
"love, gilda",Documentary,Lisa Dapolito,,,,   Lisa Dapolito Documentary
my hero academia: two heroes,Animation Action Comedy Fantasy Adventure,Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin,Justin Briner Christopher R. Sabat Clifford Chapin Kenji Nagasaki Animation Action Comedy Fantasy Adventure
smallfoot,Family Animation Adventure Fantasy,Karey Kirkpatrick,Clare Sera (screenplay); Channing Tatum,James Corden,Zendaya,Clare Sera (screenplay); Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Animation Adventure Fantasy
night school,Comedy,Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee Comedy
the old man & the gun,Comedy Crime Drama,David Lowery,Robert Redford,Casey Affleck,Danny Glover,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
hell fest,Horror,Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Bex Taylor-Klaus Amy Forsyth Reign Edwards Gregory Plotkin Horror
power of the air,,Dave Christiano,Nicholas X. Parsons,Patty Duke,Michael Gross,Nicholas X. Parsons Patty Duke Michael Gross Dave Christiano 
venom,Science Fiction Action,Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
a star is born,Drama Romance Music,Bradley Cooper,Eric Roth,Lady Gaga,Sam Elliott,Eric Roth Lady Gaga Sam Elliott Bradley Cooper Drama Romance Music
the hate u give,Crime Drama,George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
the happy prince,Drama,Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan,Rupert Everett Colin Firth Colin Morgan Rupert Everett Drama
first man,History Drama,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
bad times at the el royale,Thriller Drama Mystery Crime,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Drama Mystery Crime
goosebumps 2: haunted halloween,Adventure Comedy Fantasy Family Horror,Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Adventure Comedy Fantasy Family Horror
beautiful boy,Drama,Felix van Groeningen,Luke Davies (screenplay); Steve Carell,Timothée Chalamet,Maura Tierney,Luke Davies (screenplay); Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
the oath,Comedy,Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy
gosnell: the trial of america's biggest serial killer,Drama Crime,Nick Searcy,,Dean Cain,Sarah Jane Morris, Dean Cain Sarah Jane Morris Nick Searcy Drama Crime
after everything,Comedy Drama Romance,Hannah Marks,,Joey Power (director),Jeremy Allen White, Joey Power (director) Jeremy Allen White Hannah Marks Comedy Drama Romance
halloween,Animation Family Mystery Comedy Crime,David Gordon Green,Jeff Fradley,Judy Greer,Andi Matichak,Jeff Fradley Judy Greer Andi Matichak David Gordon Green Animation Family Mystery Comedy Crime
can you ever forgive me?,Drama Crime Comedy,Marielle Heller,Melissa McCarthy,Richard E. Grant,,Melissa McCarthy Richard E. Grant  Marielle Heller Drama Crime Comedy
mid90s,Drama,Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston,Sunny Suljic Lucas Hedges Katherine Waterston Jonah Hill Drama
wildlife,Drama,Paul Dano,Zoe Kazan (screenplay); Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Zoe Kazan (screenplay); Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
what they had,Drama,Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
hunter killer,Action Thriller,Donovan Marsh,Gerard Butler,Gary Oldman,Common,Gerard Butler Gary Oldman Common Donovan Marsh Action Thriller
johnny english strikes again,Action Adventure Comedy,David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller,Rowan Atkinson Olga Kurylenko Ben Miller David Kerr Action Adventure Comedy
suspiria,Horror Thriller,Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Horror Thriller
indivisible,Drama War,David G. Evans,Cheryl McKay (screenplay); Sarah Drew,Justin Bruening,Jason George,Cheryl McKay (screenplay); Sarah Drew Justin Bruening Jason George David G. Evans Drama War
bullitt county,Action Drama Thriller,David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
bohemian rhapsody,Music Drama History,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer Music Drama History
the nutcracker and the four realms,Fantasy Adventure Family,"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
nobody's fool,Drama Comedy,Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Drama Comedy
boy erased,Drama,Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe,Lucas Hedges Nicole Kidman Russell Crowe Joel Edgerton Drama
a private war,Drama War,Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci,Rosamund Pike Jamie Dornan Stanley Tucci Matthew Heineman Drama War
bodied,Drama Comedy Music,Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
the front runner,Drama History,Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
the grinch,Animation Family Comedy Fantasy,"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,"Benedict Cumberbatch Rashida Jones Kenan Thompson Yarrow Cheney, Scott Mosier Animation Family Comedy Fantasy"
the girl in the spider's web,Action Crime Thriller Drama,Fede Alvarez,Steven Knight,Sverrir Gudnason,Lakeith Stanfield,Steven Knight Sverrir Gudnason Lakeith Stanfield Fede Alvarez Action Crime Thriller Drama
overlord,Horror War Science Fiction,Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
the ballad of buster scruggs,Comedy Drama Western Music,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",Tim Blake Nelson,Zoe Kazan,Liam Neeson,"Tim Blake Nelson Zoe Kazan Liam Neeson Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits Comedy Drama Western Music"
lazer team 2,Science Fiction Action Adventure Comedy,Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns,Gavin Free Michael Jones Burnie Burns Daniel Fabelo & Matt Hullum Science Fiction Action Adventure Comedy
the marine 6: close quarters,Action Drama,James Nunn,"Chuck Norris (edited); Mike ""The Miz"" Mizanin",Shawn Michaels,Becky Lynch,"Chuck Norris (edited); Mike ""The Miz"" Mizanin Shawn Michaels Becky Lynch James Nunn Action Drama"
conundrum: secrets among friends,Drama Thriller,Josh Webber,,Jo Marie Payton,Gary Leroi Gray, Jo Marie Payton Gary Leroi Gray Josh Webber Drama Thriller
fantastic beasts: the crimes of grindelwald,Adventure Fantasy Drama,David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Adventure Fantasy Drama
widows,Crime Thriller,Steve McQueen,Gillian Flynn (screenplay); Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Gillian Flynn (screenplay); Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Crime Thriller
instant family,Comedy Drama,Sean Anders,John Morris (screenplay); Mark Wahlberg,Rose Byrne,Isabela Moner,John Morris (screenplay); Mark Wahlberg Rose Byrne Isabela Moner Sean Anders Comedy Drama
ralph breaks the internet,Family Animation Comedy Adventure,"Rich Moore, Phil Johnston",John C. Reilly,Sarah Silverman,Gal Gadot,"John C. Reilly Sarah Silverman Gal Gadot Rich Moore, Phil Johnston Family Animation Comedy Adventure"
creed ii,Drama,Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama
green book,Drama Comedy Music,Peter Farrelly,Brian Hayes Currie,Mahershala Ali,Linda Cardellini,Brian Hayes Currie Mahershala Ali Linda Cardellini Peter Farrelly Drama Comedy Music
robin hood,Adventure Action Thriller,Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Adventure Action Thriller
roma,Drama,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Yalitza Aparicio Marina de Tavira Fernando Grediaga Alfonso Cuarón Drama
the favourite,Drama History Comedy,Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos Drama History Comedy
mowgli: legend of the jungle,Adventure Drama,Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett,Rohan Chand Christian Bale Cate Blanchett Andy Serkis Adventure Drama
the possession of hannah grace,Horror Drama,Diederik van Rooijen,,Grey Damon,Kirby Johnson, Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
anna and the apocalypse,Horror Comedy Fantasy,John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu,Ella Hunt Malcolm Cumming Marli Siu John McPhail Horror Comedy Fantasy
capernaum,Drama,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Nadine Labaki Drama
mary queen of scots,Drama History,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
ben is back,Drama,Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton,Lucas Hedges Julia Roberts Kathryn Newton Peter Hedges Drama
spider-man: into the spider-verse,Action Adventure Animation Science Fiction Comedy,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Action Adventure Animation Science Fiction Comedy"
mortal engines,Adventure Science Fiction,Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan,Hugo Weaving Hera Hilmar Robert Sheehan Christian Rivers Adventure Science Fiction
the mule,Crime Drama Thriller,Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama Thriller
if beale street could talk,Romance Drama,Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris,Kiki Layne Stephan James Teyonah Parris Barry Jenkins Romance Drama
mary poppins returns,Fantasy Family Comedy,Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
aquaman,Action Adventure Fantasy,James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
bumblebee,Action Adventure Science Fiction,Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
welcome to marwen,Drama Comedy Fantasy,Robert Zemeckis,Caroline Thompson (screenplay); Steve Carell,Leslie Mann,Diane Kruger,Caroline Thompson (screenplay); Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Drama Comedy Fantasy
second act,Romance Comedy,Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
cold war,Comedy Romance,Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza,Joanna Kulig Tomasz Kot Agata Kulesza Paweł Pawlikowski Comedy Romance
holmes & watson,Mystery Adventure Comedy Crime,Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Mystery Adventure Comedy Crime
vice,Thriller Science Fiction Action Adventure,Adam McKay,Christian Bale,Amy Adams,Steve Carell,Christian Bale Amy Adams Steve Carell Adam McKay Thriller Science Fiction Action Adventure
on the basis of sex,Drama History,Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Felicity Jones Armie Hammer Justin Theroux Mimi Leder Drama History
destroyer,Thriller Crime Drama Action,Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Nicole Kidman Sebastian Stan Toby Kebbell Karyn Kusama Thriller Crime Drama Action
black mirror: bandersnatch,Science Fiction Mystery Drama Thriller TV Movie,David Slade,Fionn Whitehead,Will Poulter,Asim Chaudhry,Fionn Whitehead Will Poulter Asim Chaudhry David Slade Science Fiction Mystery Drama Thriller TV Movie
