,director,actor2,genres,actor1,title,actor3,comb
15,Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,man of steel,Harry Lennix,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
16,Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,the chronicles of narnia: prince caspian,Damián Alcázar,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
17,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,the avengers,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
18,Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,pirates of the caribbean: on stranger tides,Stephen Graham,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
19,Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,men in black 3,Nicole Scherzinger,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
20,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the battle of the five armies,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
21,Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,the amazing spider-man,Chris Zylka,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
22,Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,robin hood,Scott Grimes,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
23,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the desolation of smaug,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
24,Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,the golden compass,Kristin Scott Thomas,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
25,Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,king kong,Evan Parke,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action Adventure Drama Romance
26,James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,titanic,Gloria Stuart,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
27,Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,captain america: civil war,Chris Evans,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
28,Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,battleship,Tadanobu Asano,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
29,Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,jurassic world,Omar Sy,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
30,Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,skyfall,Rory Kinnear,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
31,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man 2,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
32,Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 3,Don Cheadle,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi
33,Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice in wonderland,Anne Hathaway,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure Family Fantasy
34,Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men: the last stand,Daniel Cudmore,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller
35,Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,monsters university,Sean Hayes,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy
36,Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,transformers: revenge of the fallen,Ramon Rodriguez,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi
37,Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,transformers: age of extinction,Kelsey Grammer,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi
38,Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,oz the great and powerful,James Franco,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure Family Fantasy
39,Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,the amazing spider-man 2,B.J. Novak,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi
40,Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,tron: legacy,James Frain,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action Adventure Sci-Fi
41,John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,cars 2,Eddie Izzard,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport
42,Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,green lantern,Taika Waititi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi
43,Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,toy story 3,Don Rickles,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy
44,McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,terminator salvation,Common,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi
45,James Wan,Paul Walker,Action Crime Thriller,Jason Statham,furious 7,Vin Diesel,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller
46,Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,world war z,Mireille Enos,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller
47,Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,x-men: days of future past,Hugh Jackman,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
48,J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,star trek into darkness,Noel Clarke,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi
49,Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,jack the giant slayer,Ralph Brown,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy
50,Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,the great gatsby,Steve Bisley,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama Romance
51,Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,prince of persia: the sands of time,Reece Ritchie,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance
52,Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,pacific rim,Larry Joe Campbell,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi
53,Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,transformers: dark of the moon,Kevin Dunn,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi
54,Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,indiana jones and the kingdom of the crystal skull,Jim Broadbent,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy
55,Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,the good dinosaur,Peter Sohn,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy
56,Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,brave,Julie Walters,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy
57,Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,star trek beyond,Lydia Wilson,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller
58,Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,wall·e,Jeff Garlin,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi
59,Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,rush hour 3,Noémie Lenoir,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller
60,Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,2012,Tom McCarthy,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi
61,Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,a christmas carol,Gary Oldman,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy
62,Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,jupiter ascending,Eddie Redmayne,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi
63,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarzan,Casper Crump,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
64,Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"the chronicles of narnia: the lion, the witch and the wardrobe",Shane Rangi,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy
65,Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: apocalypse,Tye Sheridan,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi
66,Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,the dark knight,Morgan Freeman,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller
67,Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,up,Jess Harnell,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family
68,Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,monsters vs. aliens,Stephen Colbert,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
69,Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,iron man,Jon Favreau,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
70,Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,hugo,Ray Winstone,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
71,Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,wild wild west,Bai Ling,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
72,Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,the mummy: tomb of the dragon emperor,Russell Wong,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
73,David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,suicide squad,Ike Barinholtz,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
74,Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,evan almighty,Steve Carell,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
75,Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,edge of tomorrow,Noah Taylor,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
76,Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,waterworld,Zakes Mokae,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
77,Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,g.i. joe: the rise of cobra,Leo Howard,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
78,Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,inside out,Phyllis Smith,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
79,Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle book,Garry Shandling,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
80,Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 2,Jon Favreau,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
81,Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,snow white and the huntsman,Sam Claflin,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
82,Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,maleficent,Sam Riley,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
83,Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,dawn of the planet of the apes,Kodi Smit-McPhee,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
84,Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,the lovers,Bipasha Basu,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action Adventure Romance Sci-Fi
85,Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 ronin,Jin Akanishi,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
86,Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,captain america: the winter soldier,Hayley Atwell,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
87,Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,shrek forever after,Mary Kay Place,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
88,Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,tomorrowland,Thomas Robinson,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
89,Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,big hero 6,Abraham Benrubi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
90,Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,wreck-it ralph,Joe Lo Truglio,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
91,Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,the polar express,Peter Scolari,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
92,Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,independence day: resurgence,Judd Hirsch,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
93,Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,how to train your dragon,Craig Ferguson,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
94,Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,terminator 3: rise of the machines,Carolyn Hennesy,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
95,James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,guardians of the galaxy,Djimon Hounsou,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
96,Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,interstellar,Mackenzie Foy,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
97,Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,inception,Joseph Gordon-Levitt,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
99,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: an unexpected journey,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
100,Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,the fast and the furious,Jordana Brewster,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller
101,David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,the curious case of benjamin button,Julia Ormond,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
102,Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: first class,Oliver Platt,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
103,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,the hunger games: mockingjay - part 2,Josh Hutcherson,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
104,Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,the sorcerer's apprentice,Robert Capron,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
105,Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,poseidon,Andre Braugher,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
106,James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice through the looking glass,Anne Hathaway,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
107,Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,shrek the third,Rupert Everett,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
108,Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,warcraft,Ruth Negga,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
109,Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,terminator genisys,Matt Smith,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
110,Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,the chronicles of narnia: the voyage of the dawn treader,Laura Brent,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
111,Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,pearl harbor,Mako,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
112,Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,transformers,Kevin Dunn,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
113,Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,alexander,Brian Blessed,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
114,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the order of the phoenix,Fiona Shaw,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
115,Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the goblet of fire,Rupert Grint,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
116,Peter Berg,Charlize Theron,Action Drama,Will Smith,hancock,Eddie Marsan,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
117,Francis Lawrence,Alice Braga,Drama Horror Sci-Fi,Will Smith,i am legend,Willow Smith,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
118,Tim Burton,Christopher Lee,Adventure Comedy Family Fantasy,Johnny Depp,charlie and the chocolate factory,David Kelly,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
119,Brad Bird,John Ratzenberger,Animation Comedy Family Fantasy,Janeane Garofalo,ratatouille,Brian Dennehy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
120,Christopher Nolan,Liam Neeson,Action Adventure,Christian Bale,batman begins,Morgan Freeman,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
121,Eric Darnell,Jada Pinkett Smith,Action Adventure Animation Comedy Family,Bernie Mac,madagascar: escape 2 africa,Cedric the Entertainer,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
122,Shawn Levy,Rami Malek,Adventure Comedy Family Fantasy,Robin Williams,night at the museum: battle of the smithsonian,Steve Coogan,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
123,Gavin Hood,Ryan Reynolds,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men origins: wolverine,Dominic Monaghan,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
124,Lana Wachowski,Collin Chou,Action Sci-Fi,Essie Davis,the matrix revolutions,Nona Gaye,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi
125,Chris Buck,Maurice LaMarche,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,frozen,Livvy Stubenrauch,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical
126,Lana Wachowski,Daniel Bernhardt,Action Sci-Fi,Steve Bastoni,the matrix reloaded,Helmut Bakaitis,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi
127,Alan Taylor,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor: the dark world,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy
128,George Miller,Charlize Theron,Action Adventure Sci-Fi Thriller,Tom Hardy,mad max: fury road,Zoë Kravitz,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller
129,Ron Howard,Ayelet Zurer,Mystery Thriller,Tom Hanks,angels & demons,Armin Mueller-Stahl,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller
130,Kenneth Branagh,Natalie Portman,Action Adventure Fantasy,Chris Hemsworth,thor,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy
131,Byron Howard,Diedrich Bader,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,bolt,James Lipton,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family
132,Hoyt Yeatman,Piper Mackenzie Harris,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,g-force,Niecy Nash,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
133,Jonathan Liebesman,Edgar Ramírez,Action Adventure Fantasy,Liam Neeson,wrath of the titans,Lily James,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy
134,Tim Burton,Chloë Grace Moretz,Comedy Fantasy Horror,Johnny Depp,dark shadows,Christopher Lee,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror
